GEOID,NMTC Eligibility,Opportunity Zone
25009217500,Not Eligible,No
25009217601,Not Eligible,No
25009217602,Not Eligible,No
25009218100,Not Eligible,No
25009220101,Not Eligible,No
25009220102,Not Eligible,No
25009221100,Not Eligible,No
25009221300,Not Eligible,No
25009221400,Severe Distress or Non-Metropolitan,Low-Income Community
25009221500,Eligible,Low-Income Community
25009221600,Deep Distress or High Migration Rural County,No
25009221700,Eligible,No
25009221800,Not Eligible,No
25009221901,Not Eligible,No
25009221902,Not Eligible,No
25009222100,Not Eligible,No
25009223100,Not Eligible,No
25009223200,Not Eligible,No
25009223300,Not Eligible,No
25009250100,Deep Distress or High Migration Rural County,Low-Income Community
25009250200,Deep Distress or High Migration Rural County,No
25009250300,Severe Distress or Non-Metropolitan,Low-Income Community
25009250400,Deep Distress or High Migration Rural County,No
25009250500,Severe Distress or Non-Metropolitan,No
25009250600,Severe Distress or Non-Metropolitan,No
25009250700,Severe Distress or Non-Metropolitan,No
25009250800,Severe Distress or Non-Metropolitan,Low-Income Community
25009250900,Deep Distress or High Migration Rural County,No
25009251000,Severe Distress or Non-Metropolitan,No
25009251100,Deep Distress or High Migration Rural County,No
25009251200,Deep Distress or High Migration Rural County,No
25009251300,Deep Distress or High Migration Rural County,No
25009251400,Deep Distress or High Migration Rural County,No
25009251500,Deep Distress or High Migration Rural County,No
25009251600,Deep Distress or High Migration Rural County,Low-Income Community
25009251700,Severe Distress or Non-Metropolitan,No
25009251800,Eligible,No
25009252101,Severe Distress or Non-Metropolitan,No
25009252102,Not Eligible,No
25009252201,Not Eligible,No
25009252202,Not Eligible,No
25009252300,Severe Distress or Non-Metropolitan,Low-Income Community
25009252400,Severe Distress or Non-Metropolitan,Low-Income Community
25009252501,Severe Distress or Non-Metropolitan,No
25009252502,Severe Distress or Non-Metropolitan,No
25009252601,Not Eligible,No
25009252602,Not Eligible,No
25009252603,Not Eligible,No
25009253100,Not Eligible,No
25009253201,Not Eligible,No
25009253202,Not Eligible,No
25009253203,Not Eligible,No
25009253204,Not Eligible,No
25009253205,Not Eligible,No
25009254100,Not Eligible,No
25009254200,Not Eligible,No
25009254301,Not Eligible,No
25009254302,Not Eligible,No
25009254401,Not Eligible,No
25009254402,Not Eligible,No
25009254403,Not Eligible,No
25009260100,Deep Distress or High Migration Rural County,No
25009260200,Deep Distress or High Migration Rural County,Low-Income Community
25009260301,Not Eligible,No
25009260302,Not Eligible,No
25009260401,Not Eligible,No
25009260402,Not Eligible,No
25009260500,Not Eligible,No
25009260600,Eligible,No
25009260700,Eligible,No
25009260800,Deep Distress or High Migration Rural County,Low-Income Community
25009260900,Severe Distress or Non-Metropolitan,No
25009261000,Eligible,No
25009261101,Not Eligible,No
25009261102,Eligible,No
25009262100,Not Eligible,No
25009263100,Not Eligible,No
25009264100,Not Eligible,No
25009265101,Not Eligible,No
25009265102,Not Eligible,No
25009266100,Not Eligible,No
25009266200,Not Eligible,No
25009266300,Not Eligible,No
25009266400,Eligible,No
25009267102,Not Eligible,No
25009267103,Not Eligible,No
25009267104,Not Eligible,No
25009268100,Not Eligible,No
25009268200,Not Eligible,No
25009268300,Not Eligible,No
25009268400,Not Eligible,No
25009269100,Not Eligible,No
25009270100,Not Eligible,No
25009990100,Not Eligible,No
25011040100,Eligible,Low-Income Community
25011040200,Eligible,No
25011040300,Not Eligible,No
25011040400,Not Eligible,Low-Income Community
25011040501,Severe Distress or Non-Metropolitan,Low-Income Community
25011040502,Eligible,Low-Income Community
25011040600,Not Eligible,No
25011040701,Eligible,Low-Income Community
25011040702,Not Eligible,No
25011040800,Not Eligible,No
25011040900,Not Eligible,No
25011041000,Eligible,No
25011041100,Not Eligible,No
25011041200,Not Eligible,No
25011041301,Deep Distress or High Migration Rural County,No
25011041302,Severe Distress or Non-Metropolitan,No
25011041400,Deep Distress or High Migration Rural County,Low-Income Community
25011041501,Not Eligible,No
25011041502,Eligible,No
25013800101,Severe Distress or Non-Metropolitan,No
25013800102,Severe Distress or Non-Metropolitan,No
25013800201,Severe Distress or Non-Metropolitan,No
25013800202,Severe Distress or Non-Metropolitan,No
25013800300,Severe Distress or Non-Metropolitan,No
25013800400,Severe Distress or Non-Metropolitan,No
25013800500,Eligible,No
25013800600,Deep Distress or High Migration Rural County,Low-Income Community
25013800700,Deep Distress or High Migration Rural County,No
25013800800,Deep Distress or High Migration Rural County,No
25013800900,Deep Distress or High Migration Rural County,Low-Income Community
25013801101,Deep Distress or High Migration Rural County,Low-Income Community
25013801102,Eligible,No
25013801200,Deep Distress or High Migration Rural County,Low-Income Community
25013801300,Severe Distress or Non-Metropolitan,No
25013801401,Deep Distress or High Migration Rural County,No
25013801402,Severe Distress or Non-Metropolitan,No
25013801501,Severe Distress or Non-Metropolitan,No
25013801502,Severe Distress or Non-Metropolitan,No
25013801503,Severe Distress or Non-Metropolitan,No
25013801601,Eligible,No
25013801602,Eligible,No
25013801603,Eligible,No
25013801604,Not Eligible,No
25013801605,Severe Distress or Non-Metropolitan,No
25013801700,Deep Distress or High Migration Rural County,Low-Income Community
25013801800,Deep Distress or High Migration Rural County,Low-Income Community
25013801901,Deep Distress or High Migration Rural County,No
25013801902,Severe Distress or Non-Metropolitan,Low-Income Community
25013802000,Deep Distress or High Migration Rural County,No
25013802101,Severe Distress or Non-Metropolitan,No
25013802200,Deep Distress or High Migration Rural County,No
25013802300,Severe Distress or Non-Metropolitan,No
25013802400,Not Eligible,No
25013802500,Eligible,No
25013802601,Severe Distress or Non-Metropolitan,No
25013802602,Not Eligible,No
25013810100,Not Eligible,No
25013810200,Severe Distress or Non-Metropolitan,No
25013810300,Eligible,Low-Income Community
25013810403,Severe Distress or Non-Metropolitan,Low-Income Community
25013810404,Eligible,No
25013810412,Eligible,No
25013810414,Not Eligible,No
25013810601,Severe Distress or Non-Metropolitan,No
25013810602,Not Eligible,No
25013810700,Severe Distress or Non-Metropolitan,No
25013810800,Severe Distress or Non-Metropolitan,Low-Income Community
25013810901,Deep Distress or High Migration Rural County,No
25013810902,Severe Distress or Non-Metropolitan,No
25013811000,Eligible,No
25013811101,Severe Distress or Non-Metropolitan,No
25013811102,Severe Distress or Non-Metropolitan,No
25013811200,Eligible,No
25013811301,Eligible,No
25013811302,Eligible,No
25013811400,Deep Distress or High Migration Rural County,Low-Income Community
25013811500,Deep Distress or High Migration Rural County,No
25013811600,Deep Distress or High Migration Rural County,No
25013811700,Deep Distress or High Migration Rural County,Low-Income Community
25013811800,Deep Distress or High Migration Rural County,No
25013811900,Not Eligible,No
25013812001,Deep Distress or High Migration Rural County,No
25013812002,Severe Distress or Non-Metropolitan,No
25013812101,Eligible,No
25013812103,Eligible,No
25013812104,Severe Distress or Non-Metropolitan,No
25013812201,Severe Distress or Non-Metropolitan,No
25013812202,Eligible,No
25013812300,Severe Distress or Non-Metropolitan,Low-Income Community
25013812401,Not Eligible,No
25013812403,Eligible,No
25013812404,Not Eligible,No
25013812500,Not Eligible,No
25013812600,Not Eligible,No
25013812701,Severe Distress or Non-Metropolitan,No
25013812702,Severe Distress or Non-Metropolitan,Low-Income Community
25013812800,Not Eligible,No
25013812901,Eligible,No
25013812902,Not Eligible,No
25013812903,Not Eligible,No
25013813001,Eligible,No
25013813002,Not Eligible,No
25013813101,Not Eligible,No
25013813102,Not Eligible,No
25013813204,Not Eligible,No
25013813205,Not Eligible,No
25013813206,Not Eligible,No
25013813207,Eligible,Low-Income Community
25013813208,Not Eligible,No
25013813209,Not Eligible,No
25013813301,Not Eligible,No
25013813303,Not Eligible,No
25013813304,Not Eligible,No
25013813401,Not Eligible,No
25013813403,Not Eligible,No
25013813404,Not Eligible,No
25013813500,Not Eligible,No
25013813601,Not Eligible,No
25013813602,Not Eligible,No
25013813701,Not Eligible,No
25013813702,Not Eligible,No
25013813801,Not Eligible,No
25013813802,Not Eligible,No
25015820101,Severe Distress or Non-Metropolitan,No
25015820102,Severe Distress or Non-Metropolitan,Low-Income Community
25015820205,Not Eligible,No
25015820206,Not Eligible,No
25015820207,Not Eligible,No
25015820300,Eligible,Low-Income Community
25015820400,Deep Distress or High Migration Rural County,No
25015820500,Severe Distress or Non-Metropolitan,No
25015820600,Not Eligible,No
25015820700,Eligible,No
25015820801,Not Eligible,No
25015820802,Not Eligible,No
25015820900,Not Eligible,No
25015821000,Eligible,No
25015821101,Eligible,No
25015821200,Not Eligible,No
25015821300,Not Eligible,No
25015821400,Not Eligible,No
25015821500,Not Eligible,No
25015821601,Eligible,No
25015821602,Not Eligible,Low-Income Community
25015821700,Not Eligible,No
25015821901,Not Eligible,No
25015821903,Not Eligible,Low-Income Community
25015821904,Not Eligible,No
25015822000,Eligible,No
25015822200,Not Eligible,No
25015822300,Eligible,No
25015822401,Not Eligible,No
25015822402,Severe Distress or Non-Metropolitan,Low-Income Community
25015822500,Not Eligible,No
25015822601,Not Eligible,No
25015822603,Not Eligible,No
25015822607,Not Eligible,No
25015822700,Not Eligible,No
25017300100,Not Eligible,No
25017301101,Not Eligible,No
25017301102,Not Eligible,No
25017310101,Eligible,No
25017310102,Deep Distress or High Migration Rural County,No
25017310200,Eligible,No
25017310300,Severe Distress or Non-Metropolitan,No
25017310400,Deep Distress or High Migration Rural County,No
25017310500,Eligible,No
25017310601,Severe Distress or Non-Metropolitan,No
25017310602,Eligible,No
25017310700,Severe Distress or Non-Metropolitan,No
25017311100,Severe Distress or Non-Metropolitan,No
25017311200,Severe Distress or Non-Metropolitan,No
25017311300,Severe Distress or Non-Metropolitan,No
25017311400,Eligible,No
25017311500,Not Eligible,No
25017311600,Eligible,Low-Income Community
25017311700,Severe Distress or Non-Metropolitan,Low-Income Community
25017311800,Severe Distress or Non-Metropolitan,Low-Income Community
25017311900,Deep Distress or High Migration Rural County,Low-Income Community
25017312000,Deep Distress or High Migration Rural County,No
25017312100,Severe Distress or Non-Metropolitan,No
25017312200,Eligible,No
25017312300,Eligible,No
25017312400,Deep Distress or High Migration Rural County,No
25017312501,Not Eligible,No
25017312502,Not Eligible,No
25017313101,Not Eligible,No
25017313102,Not Eligible,No
25017314101,Not Eligible,No
25017314102,Eligible,No
25017314200,Not Eligible,No
25017314301,Not Eligible,No
25017314302,Not Eligible,No
25017315100,Not Eligible,No
25017315200,Not Eligible,No
25017315401,Not Eligible,No
25017315402,Not Eligible,No
25017315403,Not Eligible,No
25017315500,Not Eligible,No
25017316101,Not Eligible,No
25017316102,Not Eligible,No
25017316201,Not Eligible,No
25017316202,Not Eligible,No
25017316300,Not Eligible,No
25017316400,Not Eligible,No
25017316500,Not Eligible,No
25017317101,Not Eligible,No
25017317102,Not Eligible,No
25017317103,Not Eligible,No
25017317201,Not Eligible,No
25017317202,Not Eligible,No
25017317203,Not Eligible,No
25017317301,Not Eligible,No
25017317302,Not Eligible,No
25017318100,Not Eligible,No
25017318200,Not Eligible,No
25017318300,Not Eligible,No
25017318400,Not Eligible,No
25017320102,Not Eligible,No
25017320105,Not Eligible,No
25017320106,Not Eligible,No
25017320107,Not Eligible,No
25017321100,Not Eligible,No
25017321200,Not Eligible,Low-Income Community
25017321301,Eligible,No
25017321302,Not Eligible,No
25017321400,Not Eligible,No
25017321500,Not Eligible,No
25017321600,Not Eligible,No
25017322100,Not Eligible,No
25017322200,Not Eligible,No
25017322300,Not Eligible,No
25017322400,Not Eligible,No
25017323101,Not Eligible,No
25017323102,Not Eligible,No
25017324101,Not Eligible,No
25017324102,Not Eligible,No
25017325101,Not Eligible,No
25017325102,Not Eligible,No
25017326101,Not Eligible,No
25017326102,Not Eligible,No
25017327101,Not Eligible,No
25017327102,Not Eligible,No
25017327103,Not Eligible,No
25017328100,Not Eligible,No
25017330101,Not Eligible,No
25017330102,Not Eligible,No
25017330201,Not Eligible,No
25017330202,Not Eligible,No
25017331101,Not Eligible,No
25017331102,Not Eligible,No
25017331200,Not Eligible,No
25017331300,Not Eligible,No
25017332100,Not Eligible,No
25017332201,Not Eligible,No
25017332202,Not Eligible,No
25017332300,Not Eligible,No
25017332401,Not Eligible,No
25017332402,Not Eligible,No
25017333100,Not Eligible,No
25017333200,Not Eligible,No
25017333300,Eligible,No
25017333400,Not Eligible,No
25017333501,Not Eligible,No
25017333502,Not Eligible,No
25017333601,Eligible,No
25017333602,Not Eligible,No
25017334100,Not Eligible,No
25017334200,Not Eligible,No
25017334300,Not Eligible,No
25017334400,Not Eligible,No
25017335100,Not Eligible,No
25017335200,Not Eligible,No
25017335301,Not Eligible,No
25017335302,Not Eligible,No
25017335400,Not Eligible,No
25017336100,Not Eligible,No
25017336201,Not Eligible,No
25017336202,Not Eligible,No
25017336300,Not Eligible,No
25017336402,Not Eligible,No
25017336403,Not Eligible,No
25017336404,Eligible,No
25017337101,Not Eligible,No
25017337102,Not Eligible,No
25017337201,Not Eligible,No
25017337202,Not Eligible,No
25017337300,Not Eligible,No
25017338100,Not Eligible,No
25017338200,Not Eligible,No
25017338300,Not Eligible,No
25017338400,Not Eligible,No
25017338500,Not Eligible,No
25017339101,Not Eligible,No
25017339102,Not Eligible,No
25017339200,Not Eligible,No
25017339300,Not Eligible,No
25017339400,Not Eligible,No
25017339500,Not Eligible,No
25017339600,Not Eligible,No
25017339700,Severe Distress or Non-Metropolitan,Low-Income Community
25017339802,Not Eligible,No
25017339803,Not Eligible,No
25017339804,Not Eligible,No
25017339900,Eligible,No
25017340000,Not Eligible,No
25017340100,Not Eligible,No
25017341101,Not Eligible,No
25017341102,Not Eligible,No
25017341200,Severe Distress or Non-Metropolitan,Low-Income Community
25017341301,Eligible,No
25017341302,Not Eligible,No
25017341400,Eligible,No
25017341500,Eligible,No
25017341600,Eligible,No
25017341700,Severe Distress or Non-Metropolitan,No
25017341800,Severe Distress or Non-Metropolitan,No
25017341901,Not Eligible,No
25017341903,Not Eligible,No
25017341904,Deep Distress or High Migration Rural County,No
25017342101,Eligible,No
25017342102,Eligible,No
25017342201,Severe Distress or Non-Metropolitan,No
25017342202,Eligible,No
25017342301,Deep Distress or High Migration Rural County,No
25017342302,Eligible,No
25017342401,Eligible,No
25017342402,Severe Distress or Non-Metropolitan,No
25017342501,Severe Distress or Non-Metropolitan,No
25017342502,Not Eligible,No
25017342600,Severe Distress or Non-Metropolitan,No
25017350105,Not Eligible,No
25017350106,Not Eligible,No
25017350107,Not Eligible,No
25017350108,Severe Distress or Non-Metropolitan,No
25017350109,Eligible,No
25017350201,Not Eligible,No
25017350202,Not Eligible,No
25017350300,Not Eligible,No
25017350400,Not Eligible,No
25017350500,Not Eligible,No
25017350600,Not Eligible,No
25017350701,Not Eligible,No
25017350702,Severe Distress or Non-Metropolitan,No
25017350800,Not Eligible,No
25017350900,Not Eligible,No
25017351001,Not Eligible,No
25017351002,Not Eligible,No
25017351101,Not Eligible,No
25017351102,Not Eligible,No
25017351203,Not Eligible,No
25017351204,Not Eligible,No
25017351300,Not Eligible,No
25017351403,Eligible,No
25017351404,Eligible,No
25017351500,Eligible,Low-Income Community
25017352101,Not Eligible,No
25017352102,Not Eligible,No
25017352200,Eligible,No
25017352300,Not Eligible,No
25017352400,Severe Distress or Non-Metropolitan,No
25017352500,Not Eligible,No
25017352600,Eligible,No
25017352700,Severe Distress or Non-Metropolitan,No
25017352800,Not Eligible,No
25017352900,Not Eligible,No
25017353000,Eligible,No
25017353101,Not Eligible,No
25017353102,Not Eligible,No
25017353200,Not Eligible,No
25017353300,Not Eligible,No
25017353600,Not Eligible,No
25017353700,Not Eligible,No
25017353800,Not Eligible,No
25017353900,Eligible,No
25017354000,Eligible,No
25017354100,Not Eligible,No
25017354200,Not Eligible,No
25017354300,Not Eligible,No
25017354400,Not Eligible,No
25017354500,Not Eligible,No
25017354601,Not Eligible,No
25017354602,Not Eligible,No
25017354700,Not Eligible,No
25017354800,Not Eligible,No
25017354901,Not Eligible,No
25017354902,Eligible,No
25017355000,Not Eligible,No
25017356100,Not Eligible,No
25017356300,Not Eligible,No
25017356400,Not Eligible,No
25017356500,Not Eligible,No
25017356601,Not Eligible,No
25017356602,Not Eligible,No
25017356701,Not Eligible,No
25017356703,Not Eligible,No
25017356704,Not Eligible,No
25017357100,Not Eligible,No
25017357200,Not Eligible,No
25017357300,Not Eligible,No
25017357400,Not Eligible,No
25017357500,Not Eligible,No
25017357600,Not Eligible,No
25017357700,Not Eligible,No
25017357800,Not Eligible,No
25017358100,Not Eligible,No
25017358300,Not Eligible,No
25017358400,Not Eligible,No
25017358500,Not Eligible,No
25017358600,Not Eligible,No
25017358700,Not Eligible,No
25017359100,Not Eligible,No
25017359301,Not Eligible,No
25017359302,Not Eligible,No
25017359303,Not Eligible,No
25017359400,Not Eligible,No
25017360300,Not Eligible,No
25017361100,Not Eligible,No
25017361200,Not Eligible,No
25017361300,Not Eligible,No
25017362100,Not Eligible,No
25017363103,Not Eligible,No
25017363104,Not Eligible,No
25017363105,Not Eligible,No
25017363106,Not Eligible,No
25017363201,Not Eligible,No
25017363202,Not Eligible,No
25017364101,Not Eligible,No
25017364102,Not Eligible,No
25017365100,Not Eligible,No
25017365201,Not Eligible,No
25017365202,Not Eligible,No
25017366100,Not Eligible,No
25017366201,Not Eligible,No
25017366202,Not Eligible,No
25017367100,Not Eligible,No
25017367200,Not Eligible,No
25017368101,Not Eligible,No
25017368102,Not Eligible,No
25017368200,Not Eligible,No
25017368300,Eligible,No
25017368400,Not Eligible,No
25017368500,Eligible,No
25017368600,Not Eligible,No
25017368700,Severe Distress or Non-Metropolitan,No
25017368800,Not Eligible,No
25017368901,Not Eligible,No
25017368902,Eligible,No
25017369000,Deep Distress or High Migration Rural County,No
25017369100,Not Eligible,No
25017370101,Not Eligible,No
25017370103,Not Eligible,No
25017370104,Not Eligible,No
25017370201,Not Eligible,No
25017370202,Not Eligible,No
25017370301,Not Eligible,No
25017370302,Eligible,No
25017370401,Not Eligible,No
25017370402,Not Eligible,No
25017370403,Eligible,No
25017373100,Not Eligible,No
25017373200,Not Eligible,No
25017373300,Not Eligible,No
25017373400,Not Eligible,No
25017373500,Not Eligible,No
25017373600,Not Eligible,No
25017373700,Not Eligible,No
25017373800,Not Eligible,No
25017373901,Not Eligible,No
25017373902,Not Eligible,No
25017374000,Not Eligible,No
25017374100,Not Eligible,No
25017374200,Not Eligible,No
25017374300,Not Eligible,No
25017374400,Not Eligible,No
25017374500,Not Eligible,No
25017374600,Not Eligible,No
25017374700,Not Eligible,No
25017374800,Not Eligible,No
25017382100,Not Eligible,No
25017382200,Not Eligible,No
25017382300,Not Eligible,No
25017382400,Not Eligible,No
25017382500,Not Eligible,No
25017382601,Not Eligible,No
25017382602,Not Eligible,No
25017383101,Severe Distress or Non-Metropolitan,Low-Income Community
25017383102,Deep Distress or High Migration Rural County,Low-Income Community
25017383200,Eligible,No
25017383300,Not Eligible,No
25017383401,Deep Distress or High Migration Rural County,No
25017383402,Eligible,No
25017383501,Eligible,No
25017383502,Not Eligible,No
25017383600,Not Eligible,No
25017383700,Not Eligible,No
25017383800,Not Eligible,No
25017383902,Not Eligible,No
25017383903,Not Eligible,No
25017383904,Not Eligible,No
25017384003,Not Eligible,No
25017384004,Not Eligible,No
25017385101,Not Eligible,No
25017385102,Not Eligible,No
25017385201,Not Eligible,No
25017385203,Not Eligible,No
25017385204,Not Eligible,No
25017386100,Not Eligible,No
25017387100,Not Eligible,No
25017387201,Not Eligible,No
25017387202,Not Eligible,No
25017388100,Not Eligible,No
25017388200,Not Eligible,No
25017388300,Deep Distress or High Migration Rural County,No
25017980000,Not Eligible,No
25019950100,Not Eligible,No
25019950201,Not Eligible,No
25019950202,Not Eligible,No
25019950307,Severe Distress or Non-Metropolitan,No
25019950400,Not Eligible,No
25019950500,Not Eligible,No
25019990000,Not Eligible,No
25021400100,Eligible,No
25021400201,Not Eligible,No
25021400202,Eligible,No
25021400300,Not Eligible,No
25021400401,Not Eligible,No
25021400402,Not Eligible,No
25021400500,Not Eligible,No
25021400600,Not Eligible,No
25021400700,Not Eligible,No
25021400800,Not Eligible,No
25021400900,Not Eligible,No
25021401000,Not Eligible,No
25021401100,Not Eligible,No
25021401201,Not Eligible,No
25021401202,Not Eligible,No
25021402101,Not Eligible,No
25021402102,Not Eligible,No
25021402200,Not Eligible,No
25021402300,Not Eligible,No
25021402400,Not Eligible,No
25021402500,Not Eligible,No
25021403100,Not Eligible,No
25021403300,Not Eligible,No
25021403400,Not Eligible,No
25021403501,Not Eligible,No
25021403502,Not Eligible,No
25021404100,Not Eligible,No
25021404201,Not Eligible,No
25021404202,Not Eligible,No
25021404301,Not Eligible,No
25021404302,Not Eligible,No
25021404400,Not Eligible,No
25021405100,Not Eligible,No
25021406101,Not Eligible,No
25021406102,Not Eligible,No
25021407101,Not Eligible,No
25021407102,Not Eligible,No
25021408102,Not Eligible,No
25021408103,Not Eligible,No
25021408104,Not Eligible,No
25021409101,Not Eligible,No
25021409102,Not Eligible,No
25021410100,Not Eligible,No
25021410300,Not Eligible,No
25021410400,Not Eligible,No
25021411101,Not Eligible,No
25021411102,Not Eligible,No
25021411200,Not Eligible,No
25021411301,Not Eligible,No
25021411302,Not Eligible,No
25021412100,Not Eligible,No
25021412200,Not Eligible,No
25021412300,Not Eligible,No
25021413100,Not Eligible,No
25021413201,Eligible,No
25021413202,Not Eligible,No
25021413300,Not Eligible,No
25021413401,Not Eligible,No
25021413402,Not Eligible,No
25021413500,Eligible,No
25021414100,Not Eligible,No
25021414200,Not Eligible,No
25021414300,Not Eligible,No
25021415101,Not Eligible,No
25021415103,Not Eligible,No
25021415104,Not Eligible,No
25021415201,Not Eligible,No
25021415202,Not Eligible,No
25021415300,Not Eligible,No
25021416101,Not Eligible,No
25021416102,Not Eligible,No
25021416200,Not Eligible,No
25021416300,Not Eligible,No
25021416400,Not Eligible,No
25021417100,Not Eligible,No
25021417201,Eligible,No
25021417202,Not Eligible,No
25021417300,Not Eligible,No
25021417400,Not Eligible,No
25021417501,Not Eligible,No
25021417502,Eligible,No
25021417601,Severe Distress or Non-Metropolitan,No
25021417602,Not Eligible,No
25021417702,Not Eligible,No
25021417703,Deep Distress or High Migration Rural County,No
25021417704,Not Eligible,No
25021417801,Not Eligible,No
25021417802,Severe Distress or Non-Metropolitan,No
25021417901,Severe Distress or Non-Metropolitan,Low-Income Community
25021417902,Eligible,No
25021418002,Not Eligible,No
25021418003,Not Eligible,No
25021418004,Eligible,No
25021418101,Not Eligible,No
25021418102,Severe Distress or Non-Metropolitan,No
25021418201,Not Eligible,No
25021419100,Not Eligible,No
25021419200,Not Eligible,No
25021419300,Not Eligible,No
25021419400,Not Eligible,No
25021419500,Not Eligible,No
25021419601,Not Eligible,No
25021419602,Not Eligible,No
25021419700,Not Eligible,No
25021419800,Not Eligible,No
25021420101,Not Eligible,No
25021420102,Eligible,No
25021420201,Not Eligible,No
25021420202,Not Eligible,Non-LIC Contiguous
25021420301,Eligible,Low-Income Community
25021420302,Not Eligible,No
25021421100,Not Eligible,No
25021421200,Not Eligible,No
25021422100,Not Eligible,No
25021422201,Not Eligible,No
25021422202,Not Eligible,No
25021422301,Not Eligible,No
25021422303,Severe Distress or Non-Metropolitan,No
25021422304,Not Eligible,No
25021422401,Not Eligible,No
25021422402,Not Eligible,No
25021422501,Eligible,No
25021422502,Eligible,Low-Income Community
25021422600,Not Eligible,No
25021422700,Not Eligible,No
25021422800,Not Eligible,No
25021423101,Not Eligible,No
25021423102,Not Eligible,No
25021440101,Not Eligible,No
25021440102,Not Eligible,No
25021441202,Not Eligible,No
25021441203,Not Eligible,No
25021441204,Not Eligible,No
25021442101,Not Eligible,No
25021442103,Not Eligible,No
25021442104,Not Eligible,No
25021442105,Not Eligible,No
25021442201,Not Eligible,No
25021442203,Not Eligible,No
25021442204,Not Eligible,No
25021443103,Not Eligible,No
25021443104,Not Eligible,No
25021443105,Not Eligible,No
25021443106,Not Eligible,No
25021456101,Not Eligible,No
25021456102,Eligible,No
25021456200,Not Eligible,No
25021456301,Eligible,No
25021456302,Eligible,No
25021456401,Not Eligible,No
25021456402,Not Eligible,No
25021457100,Not Eligible,No
25021457200,Not Eligible,No
25021980000,Not Eligible,No
25023500101,Not Eligible,No
25023500103,Not Eligible,No
25023500104,Not Eligible,No
25023501101,Not Eligible,No
25023501102,Not Eligible,No
25023501201,Not Eligible,No
25023501203,Not Eligible,No
25023501204,Not Eligible,No
25023502101,Not Eligible,No
25023502102,Not Eligible,No
25023502200,Not Eligible,Low-Income Community
25023503101,Not Eligible,No
25023503102,Not Eligible,No
25023504101,Not Eligible,No
25023504102,Not Eligible,No
25023505102,Not Eligible,No
25023505103,Not Eligible,No
25023505104,Not Eligible,No
25023505201,Not Eligible,No
25023505202,Not Eligible,No
25023506102,Not Eligible,No
25023506103,Eligible,No
25023506104,Not Eligible,No
25023506202,Not Eligible,No
25023506203,Not Eligible,No
25023506205,Not Eligible,No
25023506206,Not Eligible,No
25023507101,Not Eligible,No
25023507103,Not Eligible,No
25023507104,Not Eligible,No
25023508101,Not Eligible,No
25023508102,Not Eligible,No
25023508200,Not Eligible,No
25023509101,Not Eligible,No
25023509102,Not Eligible,No
25023510100,Not Eligible,No
25023510200,Eligible,No
25023510300,Severe Distress or Non-Metropolitan,No
25023510400,Deep Distress or High Migration Rural County,No
25023510501,Severe Distress or Non-Metropolitan,No
25023510503,Severe Distress or Non-Metropolitan,Low-Income Community
25023510504,Severe Distress or Non-Metropolitan,No
25023510505,Severe Distress or Non-Metropolitan,No
25023510600,Not Eligible,No
25023510700,Not Eligible,Low-Income Community
25023510800,Severe Distress or Non-Metropolitan,No
25023510900,Deep Distress or High Migration Rural County,Low-Income Community
25023511000,Deep Distress or High Migration Rural County,Low-Income Community
25023511100,Not Eligible,No
25023511200,Eligible,No
25023511301,Severe Distress or Non-Metropolitan,No
25023511302,Eligible,No
25023511400,Severe Distress or Non-Metropolitan,No
25023511500,Severe Distress or Non-Metropolitan,No
25023511601,Deep Distress or High Migration Rural County,No
25023511602,Not Eligible,No
25023511701,Not Eligible,No
25023511702,Not Eligible,No
25023520100,Not Eligible,No
25023520201,Not Eligible,No
25023520202,Not Eligible,No
25023521101,Not Eligible,No
25023521102,Not Eligible,No
25023521201,Not Eligible,No
25023521202,Not Eligible,No
25023522101,Not Eligible,No
25023522102,Not Eligible,No
25023523100,Not Eligible,No
25023523201,Not Eligible,No
25023523203,Not Eligible,No
25023523204,Eligible,No
25023524101,Not Eligible,No
25023524102,Not Eligible,No
25023525101,Not Eligible,No
25023525104,Not Eligible,No
25023525204,Not Eligible,No
25023526100,Not Eligible,No
25023530100,Not Eligible,No
25023530200,Deep Distress or High Migration Rural County,No
25023530300,Eligible,No
25023530400,Not Eligible,No
25023530500,Not Eligible,No
25023530600,Not Eligible,No
25023530700,Not Eligible,No
25023530801,Not Eligible,No
25023530802,Not Eligible,No
25023530902,Not Eligible,No
25023530903,Not Eligible,No
25023530904,Not Eligible,No
25023540101,Eligible,No
25023540102,Not Eligible,No
25023540103,Not Eligible,No
25023541100,Not Eligible,No
25023542101,Not Eligible,No
25023542102,Eligible,No
25023542200,Eligible,No
25023542301,Severe Distress or Non-Metropolitan,No
25023542302,Eligible,No
25023543100,Not Eligible,No
25023544100,Eligible,No
25023544200,Eligible,No
25023545100,Not Eligible,No
25023545200,Severe Distress or Non-Metropolitan,No
25023545300,Severe Distress or Non-Metropolitan,No
25023545400,Eligible,Low-Income Community
25023560100,Not Eligible,No
25023561100,Not Eligible,No
25023561400,Not Eligible,No
25023980200,Deep Distress or High Migration Rural County,No
25023980300,Deep Distress or High Migration Rural County,No
25023990003,Not Eligible,No
25025000101,Not Eligible,No
25025000102,Eligible,No
25025000201,Not Eligible,No
25025000202,Eligible,No
25025000301,Not Eligible,No
25025000302,Eligible,No
25025000401,Eligible,No
25025000402,Not Eligible,No
25025000502,Eligible,No
